"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)"
426.229784567,0.00262860576923,426.229784567,0.00140817307692
426.440870791,0.00292860576923,426.440870791,0.00143317307692
426.651945792,0.00253485576923,426.651945792,0.00128317307692
426.863009569,0.00261923076923,426.863009569,0.000962019230769
427.074062118,0.00228485576923,427.074062118,0.00152067307692
427.285103437,0.00272235576923,427.285103437,0.00127692307692
427.496133523,0.00301610576923,427.496133523,0.00113677884615
427.707152373,0.00229423076923,427.707152373,0.00165817307692
427.918159984,0.00308798076923,427.918159984,0.00231442307692
428.129156355,0.00276298076923,428.129156355,0.00209567307692
428.340141482,0.00299423076923,428.340141482,0.00259879807692
428.551115361,0.00278173076923,428.551115361,0.00271754807692
428.762077992,0.00260360576923,428.762077992,0.00293317307692
428.97302937,0.00271610576923,428.97302937,0.00234567307692
429.183969493,0.00272548076923,429.183969493,0.00303004807692
429.394898358,0.00273798076923,429.394898358,0.00333004807692
429.605815963,0.00299110576923,429.605815963,0.00343004807692
429.816722304,0.00267860576923,429.816722304,0.00312692307692
430.02761738,0.00318485576923,430.02761738,0.00315504807692
430.238501187,0.00313485576923,430.238501187,0.00217067307692
430.449373722,0.00304423076923,430.449373722,0.00187067307692
430.660234983,0.00326923076923,430.660234983,0.00163629807692
430.871084967,0.00515673076923,430.871084967,0.00250817307692
431.081923671,0.00639735576923,431.081923671,0.00209254807692
431.292751093,0.00750048076923,431.292751093,0.00246754807692
431.503567229,0.00800048076923,431.503567229,0.00314254807692
431.714372077,0.00950985576923,431.714372077,0.00352379807692
431.925165634,0.00979423076923,431.925165634,0.00375192307692
432.135947898,0.0100254807692,432.135947898,0.00448004807692
432.346718866,0.00924110576923,432.346718866,0.00383942307692
432.557478534,0.0101973557692,432.557478534,0.00454567307692
432.768226901,0.0102973557692,432.768226901,0.00438629807692
432.978963963,0.0100848557692,432.978963963,0.00421129807692
433.189689718,0.00994735576923,433.189689718,0.00359879807692
433.400404162,0.00995673076923,433.400404162,0.00369254807692
433.611107294,0.00858485576923,433.611107294,0.00322692307692
433.82179911,0.00895673076923,433.82179911,0.00355817307692
434.032479608,0.00932235576923,434.032479608,0.00361442307692
434.243148785,0.00878173076923,434.243148785,0.00328317307692
434.453806638,0.00844423076923,434.453806638,0.00292379807692
434.664453164,0.00850985576923,434.664453164,0.00319879807692
434.875088361,0.00788485576923,434.875088361,0.00262692307692
435.085712226,0.00740673076923,435.085712226,0.00245817307692
435.296324756,0.00629110576923,435.296324756,0.00283317307692
435.506925948,0.00766298076923,435.506925948,0.00352379807692
435.7175158,0.0106848557692,435.7175158,0.00585817307692
435.928094308,0.0166786057692,435.928094308,0.00724254807692
436.138661471,0.0241223557692,436.138661471,0.0108487980769
436.349217285,0.0301411057692,436.349217285,0.0130331730769
436.559761748,0.0380848557692,436.559761748,0.0157956730769
436.770294857,0.0621754807692,436.770294857,0.0232362980769
436.980816608,0.0771411057692,436.980816608,0.0270269230769
437.191327001,0.0945973557692,437.191327001,0.0302612980769
437.40182603,0.120881730769,437.40182603,0.0369331730769
437.612313695,0.288200480769,437.612313695,0.0793487980769
437.822789991,0.981991105769,437.822789991,0.495826923077
438.033254917,0.981991105769,438.033254917,0.920545673077
438.243708469,0.981991105769,438.243708469,0.982589423077
438.454150645,0.981991105769,438.454150645,0.982589423077
438.664581442,0.981991105769,438.664581442,0.982589423077
438.875000858,0.981991105769,438.875000858,0.895270673077
439.085408889,0.981991105769,439.085408889,0.500114423077
439.295805533,0.981991105769,439.295805533,0.188161298077
439.506190787,0.981991105769,439.506190787,0.0608394230769
439.716564648,0.981991105769,439.716564648,0.0184456730769
439.926927113,0.981991105769,439.926927113,0.00779254807692
440.137278181,0.959772355769,440.137278181,0.00553942307692
440.347617847,0.831359855769,440.347617847,0.00463942307692
440.55794611,0.800806730769,440.55794611,0.00339567307692
440.768262966,0.642866105769,440.768262966,0.00302692307692
440.978568413,0.551916105769,440.978568413,0.00320192307692
441.188862448,0.494650480769,441.188862448,0.00306442307692
441.399145068,0.494031730769,441.399145068,0.00286754807692
441.609416271,0.365694230769,441.609416271,0.00254567307692
441.819676053,0.141409855769,441.819676053,0.00246442307692
442.029924413,0.0184004807692,442.029924413,0.00163004807692
442.240161346,0.00441923076923,442.240161346,0.00143317307692
442.450386851,0.00393798076923,442.450386851,0.00134254807692
442.660600925,0.00411923076923,442.660600925,0.00184567307692
442.870803565,0.00310673076923,442.870803565,0.00148317307692
443.080994768,0.00340360576923,443.080994768,0.00135817307692
443.291174531,0.00320985576923,443.291174531,0.00208317307692
443.501342852,0.00310673076923,443.501342852,0.00113004807692
443.711499728,0.00322548076923,443.711499728,0.00191442307692
443.921645157,0.00344110576923,443.921645157,0.00154879807692
444.131779134,0.00255360576923,444.131779134,0.00116754807692
444.341901658,0.00247860576923,444.341901658,0.00134254807692
444.552012727,0.00276610576923,444.552012727,0.00132067307692
444.762112336,0.00258485576923,444.762112336,0.00128076923077
444.972200484,0.00287548076923,444.972200484,0.00169879807692
445.182277167,0.00250985576923,445.182277167,0.00155192307692
445.392342384,0.00247860576923,445.392342384,0.00132067307692
445.60239613,0.00288485576923,445.60239613,0.00143942307692
445.812438404,0.00238485576923,445.812438404,0.00168629807692
446.022469203,0.00243485576923,446.022469203,0.00111754807692
446.232488523,0.00257860576923,446.232488523,0.00122692307692
446.442496363,0.00261923076923,446.442496363,0.00113629807692
446.652492719,0.00229735576923,446.652492719,0.00174879807692
446.862477589,0.00252548076923,446.862477589,0.00150504807692
447.072450969,0.00220048076923,447.072450969,0.00151442307692
447.282412858,0.00261298076923,447.282412858,0.00155192307692
447.492363252,0.00230673076923,447.492363252,0.00122067307692
447.702302148,0.00261923076923,447.702302148,0.00141442307692
447.912229545,0.00267548076923,447.912229545,0.00122067307692
448.122145438,0.00240985576923,448.122145438,0.00154014423077
448.332049826,0.00252860576923,448.332049826,0.00143942307692
448.541942705,0.00245048076923,448.541942705,0.00143629807692
448.751824074,0.00189423076923,448.751824074,0.00118317307692
448.961693928,0.00196923076923,448.961693928,0.00104567307692
449.171552266,0.00243173076923,449.171552266,0.00117067307692
449.381399084,0.00238798076923,449.381399084,0.00143317307692
449.59123438,0.00221923076923,449.59123438,0.00134639423077
449.801058151,0.00234735576923,449.801058151,0.00154879807692
450.010870395,0.00215048076923,450.010870395,0.00114567307692
450.220671108,0.00241298076923,450.220671108,0.00102692307692
450.430460287,0.00213485576923,450.430460287,0.00115192307692
450.640237931,0.00215360576923,450.640237931,0.00112692307692
450.850004036,0.00168485576923,450.850004036,0.00128942307692
451.0597586,0.00162860576923,451.0597586,0.000980048076923
451.269501619,0.00195673076923,451.269501619,0.00119567307692
451.479233092,0.00213798076923,451.479233092,0.00117067307692
451.688953015,0.00206610576923,451.688953015,0.00126129807692
451.898661385,0.00221298076923,451.898661385,0.00135817307692
452.1083582,0.00168798076923,452.1083582,0.00101754807692
452.318043457,0.00192860576923,452.318043457,0.00148942307692
452.527717153,0.00234423076923,452.527717153,0.00181442307692
452.737379286,0.00190985576923,452.737379286,0.00117379807692
452.947029852,0.00189423076923,452.947029852,0.000926923076923
453.15666885,0.00148173076923,453.15666885,0.00133317307692
453.366296276,0.00175985576923,453.366296276,0.00144567307692
453.575912127,0.00217235576923,453.575912127,0.00125504807692
453.785516401,0.00179735576923,453.785516401,0.00165504807692
453.995109095,0.00228798076923,453.995109095,0.00218629807692
454.204690206,0.00192860576923,454.204690206,0.00169567307692
454.414259731,0.00186923076923,454.414259731,0.00169567307692
454.623817669,0.00157548076923,454.623817669,0.00120264423077
454.833364015,0.00180985576923,454.833364015,0.00152067307692
455.042898767,0.00141610576923,455.042898767,0.0008875
455.252421923,0.00196923076923,455.252421923,0.00114567307692
455.46193348,0.00118485576923,455.46193348,0.00100192307692
