"hmm - RawData"
"Wavelength nm.","Abs."
564.05,0.022
564.10,0.023
564.15,0.022
564.20,0.022
564.25,0.019
564.30,0.022
564.35,0.023
564.40,0.026
564.45,0.030
564.50,0.029
564.55,0.027
564.60,0.029
564.65,0.026
564.70,0.026
564.75,0.026
564.80,0.025
564.85,0.025
564.90,0.025
564.95,0.025
565.00,0.025
565.05,0.023
565.10,0.023
565.15,0.026
565.20,0.025
565.25,0.023
565.30,0.031
565.35,0.032
565.40,0.032
565.45,0.031
565.50,0.032
565.55,0.031
565.60,0.030
565.65,0.028
565.70,0.031
565.75,0.028
565.80,0.029
565.85,0.029
565.90,0.027
565.95,0.028
566.00,0.029
566.05,0.025
566.10,0.027
566.15,0.026
566.20,0.025
566.25,0.026
566.30,0.026
566.35,0.025
566.40,0.024
566.45,0.026
566.50,0.025
566.55,0.024
566.60,0.026
566.65,0.022
566.70,0.023
566.75,0.023
566.80,0.022
566.85,0.021
566.90,0.021
566.95,0.022
567.00,0.022
567.05,0.021
567.10,0.022
567.15,0.020
567.20,0.021
567.25,0.019
567.30,0.019
567.35,0.019
567.40,0.023
567.45,0.026
567.50,0.024
567.55,0.026
567.60,0.027
567.65,0.024
567.70,0.025
567.75,0.026
567.80,0.023
567.85,0.024
567.90,0.025
567.95,0.025
568.00,0.025
568.05,0.024
568.10,0.024
568.15,0.024
568.20,0.029
568.25,0.031
568.30,0.032
568.35,0.032
568.40,0.030
568.45,0.031
568.50,0.030
568.55,0.030
568.60,0.029
568.65,0.027
568.70,0.028
568.75,0.029
568.80,0.028
568.85,0.026
568.90,0.027
568.95,0.026
569.00,0.024
569.05,0.026
569.10,0.025
569.15,0.027
569.20,0.025
569.25,0.025
569.30,0.024
569.35,0.025
569.40,0.025
569.45,0.022
569.50,0.024
569.55,0.023
569.60,0.023
569.65,0.022
569.70,0.021
569.75,0.021
569.80,0.021
569.85,0.021
569.90,0.021
569.95,0.021
570.00,0.021
570.05,0.021
570.10,0.020
570.15,0.018
570.20,0.019
570.25,0.019
570.30,0.018
570.35,0.019
570.40,0.020
570.45,0.019
570.50,0.020
570.55,0.023
570.60,0.023
570.65,0.023
570.70,0.024
570.75,0.023
570.80,0.022
570.85,0.021
570.90,0.023
570.95,0.023
571.00,0.022
571.05,0.022
571.10,0.022
571.15,0.024
571.20,0.030
571.25,0.030
571.30,0.029
571.35,0.028
571.40,0.027
571.45,0.028
571.50,0.029
571.55,0.026
571.60,0.025
571.65,0.026
571.70,0.024
571.75,0.026
571.80,0.027
571.85,0.025
571.90,0.027
571.95,0.024
572.00,0.026
572.05,0.024
572.10,0.025
572.15,0.025
572.20,0.024
572.25,0.024
572.30,0.025
572.35,0.022
572.40,0.023
572.45,0.024
572.50,0.022
572.55,0.023
572.60,0.022
572.65,0.025
572.70,0.021
572.75,0.020
572.80,0.021
572.85,0.021
572.90,0.019
572.95,0.021
573.00,0.020
573.05,0.018
573.10,0.020
573.15,0.018
573.20,0.020
573.25,0.019
573.30,0.020
573.35,0.020
