"mrg - RawData"
"Wavelength nm.","Abs."
557.90,0.020
557.95,0.021
558.00,0.020
558.05,0.020
558.10,0.019
558.15,0.018
558.20,0.019
558.25,0.019
558.30,0.015
558.35,0.018
558.40,0.017
558.45,0.018
558.50,0.017
558.55,0.020
558.60,0.027
558.65,0.026
558.70,0.026
558.75,0.028
558.80,0.025
558.85,0.026
558.90,0.024
558.95,0.025
559.00,0.023
559.05,0.025
559.10,0.022
559.15,0.023
559.20,0.023
559.25,0.022
559.30,0.022
559.35,0.020
559.40,0.019
559.45,0.022
559.50,0.021
559.55,0.019
559.60,0.021
559.65,0.020
559.70,0.022
559.75,0.025
559.80,0.028
559.85,0.026
559.90,0.027
559.95,0.025
560.00,0.023
560.05,0.023
560.10,0.023
560.15,0.023
560.20,0.024
560.25,0.022
560.30,0.024
560.35,0.023
560.40,0.020
560.45,0.020
560.50,0.020
560.55,0.019
560.60,0.020
560.65,0.018
560.70,0.019
560.75,0.020
560.80,0.020
560.85,0.019
560.90,0.018
560.95,0.018
561.00,0.019
561.05,0.017
561.10,0.017
561.15,0.014
561.20,0.017
561.25,0.016
561.30,0.015
561.35,0.018
561.40,0.019
561.45,0.024
561.50,0.025
561.55,0.023
561.60,0.023
561.65,0.023
561.70,0.022
561.75,0.022
561.80,0.022
561.85,0.021
561.90,0.020
561.95,0.021
562.00,0.021
562.05,0.019
562.10,0.019
562.15,0.019
562.20,0.019
562.25,0.018
562.30,0.019
562.35,0.018
562.40,0.022
562.45,0.023
562.50,0.025
562.55,0.025
562.60,0.024
562.65,0.025
562.70,0.025
562.75,0.023
562.80,0.026
562.85,0.024
562.90,0.022
562.95,0.024
563.00,0.021
563.05,0.021
563.10,0.022
563.15,0.020
563.20,0.020
563.25,0.019
563.30,0.023
563.35,0.021
563.40,0.020
563.45,0.018
563.50,0.017
563.55,0.019
563.60,0.017
563.65,0.017
563.70,0.017
563.75,0.017
563.80,0.019
563.85,0.014
563.90,0.017
563.95,0.017
564.00,0.015
564.05,0.017
564.10,0.018
564.15,0.015
564.20,0.013
564.25,0.014
564.30,0.016
564.35,0.016
564.40,0.021
564.45,0.022
564.50,0.021
564.55,0.022
564.60,0.021
564.65,0.021
564.70,0.020
564.75,0.021
564.80,0.020
564.85,0.020
564.90,0.018
564.95,0.019
565.00,0.019
565.05,0.018
565.10,0.017
565.15,0.018
565.20,0.018
565.25,0.018
565.30,0.023
565.35,0.025
565.40,0.026
565.45,0.025
565.50,0.024
565.55,0.025
565.60,0.025
565.65,0.023
565.70,0.025
565.75,0.023
565.80,0.023
565.85,0.021
565.90,0.022
565.95,0.021
566.00,0.022
566.05,0.019
566.10,0.020
566.15,0.021
566.20,0.018
566.25,0.020
566.30,0.018
566.35,0.018
566.40,0.018
566.45,0.020
566.50,0.019
566.55,0.018
566.60,0.018
566.65,0.016
566.70,0.017
566.75,0.018
566.80,0.017
566.85,0.015
566.90,0.015
566.95,0.015
567.00,0.015
567.05,0.017
567.10,0.013
567.15,0.013
567.20,0.015
567.25,0.013
567.30,0.013
567.35,0.014
567.40,0.018
567.45,0.020
567.50,0.019
567.55,0.018
567.60,0.020
567.65,0.020
567.70,0.018
567.75,0.019
567.80,0.017
567.85,0.021
567.90,0.018
567.95,0.019
568.00,0.019
568.05,0.016
568.10,0.018
568.15,0.017
568.20,0.022
568.25,0.024
568.30,0.026
568.35,0.025
568.40,0.024
568.45,0.025
568.50,0.022
568.55,0.023
568.60,0.023
568.65,0.021
568.70,0.023
568.75,0.023
568.80,0.020
568.85,0.018
568.90,0.021
568.95,0.020
569.00,0.019
569.05,0.021
569.10,0.018
569.15,0.019
569.20,0.019
569.25,0.020
569.30,0.018
569.35,0.018
569.40,0.017
569.45,0.018
569.50,0.019
569.55,0.016
569.60,0.018
569.65,0.015
569.70,0.015
569.75,0.015
569.80,0.015
569.85,0.015
569.90,0.014
569.95,0.014
570.00,0.014
570.05,0.015
570.10,0.015
570.15,0.011
570.20,0.013
570.25,0.014
570.30,0.011
570.35,0.014
570.40,0.012
570.45,0.014
570.50,0.015
570.55,0.017
570.60,0.018
570.65,0.017
570.70,0.017
570.75,0.017
570.80,0.016
570.85,0.014
570.90,0.015
570.95,0.017
571.00,0.014
571.05,0.015
571.10,0.015
571.15,0.018
571.20,0.022
571.25,0.024
571.30,0.023
571.35,0.023
571.40,0.023
571.45,0.021
571.50,0.021
571.55,0.019
571.60,0.018
571.65,0.020
571.70,0.020
571.75,0.018
571.80,0.021
571.85,0.019
571.90,0.020
571.95,0.019
572.00,0.017
572.05,0.017
572.10,0.020
572.15,0.019
572.20,0.019
572.25,0.017
572.30,0.018
572.35,0.017
572.40,0.017
572.45,0.016
572.50,0.015
572.55,0.016
572.60,0.015
572.65,0.018
572.70,0.016
572.75,0.014
572.80,0.015
572.85,0.015
572.90,0.014
572.95,0.014
573.00,0.015
573.05,0.012
573.10,0.015
573.15,0.013
573.20,0.013
573.25,0.014
573.30,0.012
573.35,0.014
573.40,0.012
573.45,0.011
573.50,0.012
573.55,0.013
573.60,0.013
573.65,0.011
573.70,0.011
573.75,0.012
573.80,0.012
573.85,0.015
573.90,0.016
573.95,0.015
574.00,0.015
574.05,0.014
574.10,0.014
574.15,0.014
574.20,0.015
574.25,0.014
574.30,0.013
574.35,0.013
574.40,0.016
574.45,0.020
574.50,0.021
574.55,0.021
574.60,0.020
574.65,0.020
574.70,0.021
574.75,0.017
574.80,0.019
574.85,0.019
574.90,0.017
574.95,0.018
575.00,0.018
575.05,0.017
575.10,0.016
575.15,0.017
575.20,0.017
575.25,0.017
575.30,0.019
575.35,0.017
575.40,0.017
575.45,0.017
575.50,0.015
575.55,0.016
575.60,0.015
575.65,0.016
575.70,0.014
575.75,0.013
575.80,0.014
575.85,0.014
575.90,0.014
575.95,0.014
576.00,0.015
576.05,0.015
576.10,0.015
576.15,0.011
576.20,0.012
576.25,0.012
576.30,0.012
576.35,0.013
576.40,0.012
576.45,0.013
576.50,0.012
576.55,0.012
576.60,0.009
576.65,0.012
576.70,0.010
576.75,0.013
576.80,0.011
576.85,0.010
576.90,0.012
576.95,0.011
577.00,0.009
577.05,0.010
577.10,0.010
577.15,0.010
577.20,0.011
577.25,0.010
577.30,0.011
577.35,0.011
577.40,0.013
577.45,0.012
577.50,0.011
577.55,0.012
577.60,0.011
577.65,0.017
577.70,0.019
577.75,0.019
577.80,0.017
577.85,0.018
577.90,0.018
577.95,0.017
578.00,0.017
578.05,0.016
578.10,0.016
578.15,0.017
578.20,0.016
578.25,0.016
578.30,0.019
578.35,0.016
578.40,0.019
578.45,0.018
578.50,0.016
578.55,0.016
578.60,0.017
578.65,0.018
578.70,0.017
578.75,0.015
578.80,0.015
578.85,0.014
578.90,0.013
578.95,0.016
579.00,0.013
579.05,0.014
579.10,0.014
579.15,0.014
579.20,0.014
579.25,0.015
579.30,0.011
579.35,0.014
579.40,0.012
579.45,0.012
579.50,0.012
579.55,0.012
579.60,0.012
579.65,0.012
579.70,0.011
579.75,0.011
579.80,0.012
579.85,0.011
579.90,0.013
579.95,0.010
580.00,0.011
580.05,0.012
580.10,0.012
580.15,0.009
580.20,0.011
580.25,0.010
580.30,0.011
580.35,0.010
580.40,0.011
580.45,0.008
580.50,0.012
580.55,0.008
580.60,0.009
580.65,0.009
580.70,0.010
580.75,0.011
580.80,0.011
580.85,0.011
580.90,0.011
580.95,0.011
581.00,0.011
581.05,0.018
581.10,0.016
581.15,0.018
581.20,0.018
581.25,0.017
581.30,0.017
581.35,0.018
581.40,0.015
581.45,0.015
581.50,0.016
581.55,0.014
581.60,0.018
581.65,0.016
581.70,0.018
581.75,0.017
581.80,0.019
581.85,0.015
581.90,0.016
581.95,0.015
582.00,0.016
582.05,0.016
582.10,0.014
582.15,0.015
582.20,0.014
582.25,0.015
582.30,0.013
582.35,0.014
582.40,0.013
582.45,0.013
582.50,0.014
582.55,0.015
582.60,0.012
582.65,0.012
582.70,0.013
582.75,0.011
582.80,0.013
582.85,0.013
582.90,0.012
582.95,0.010
583.00,0.013
583.05,0.010
583.10,0.011
583.15,0.011
583.20,0.012
583.25,0.011
583.30,0.010
583.35,0.012
583.40,0.009
583.45,0.011
583.50,0.009
583.55,0.010
583.60,0.010
583.65,0.011
583.70,0.009
583.75,0.011
583.80,0.010
583.85,0.009
583.90,0.011
583.95,0.009
584.00,0.010
584.05,0.009
584.10,0.010
584.15,0.007
584.20,0.010
584.25,0.008
584.30,0.010
584.35,0.011
584.40,0.011
584.45,0.015
584.50,0.016
584.55,0.013
584.60,0.015
584.65,0.014
584.70,0.013
584.75,0.015
584.80,0.015
584.85,0.016
584.90,0.016
584.95,0.016
585.00,0.016
585.05,0.016
585.10,0.015
585.15,0.013
585.20,0.015
585.25,0.015
585.30,0.016
585.35,0.012
585.40,0.016
585.45,0.012
585.50,0.014
585.55,0.013
585.60,0.014
585.65,0.011
585.70,0.014
585.75,0.011
585.80,0.012
585.85,0.012
585.90,0.012
585.95,0.011
586.00,0.011
586.05,0.012
586.10,0.011
586.15,0.011
586.20,0.010
586.25,0.013
586.30,0.010
586.35,0.012
586.40,0.009
586.45,0.012
586.50,0.010
586.55,0.012
586.60,0.008
586.65,0.008
586.70,0.009
586.75,0.009
586.80,0.009
586.85,0.009
586.90,0.008
586.95,0.009
587.00,0.009
587.05,0.010
587.10,0.009
587.15,0.009
587.20,0.009
587.25,0.009
587.30,0.009
587.35,0.008
587.40,0.007
587.45,0.009
587.50,0.009
587.55,0.007
587.60,0.007
587.65,0.006
587.70,0.008
587.75,0.007
587.80,0.008
587.85,0.007
587.90,0.009
587.95,0.008
588.00,0.013
588.05,0.012
588.10,0.013
588.15,0.011
588.20,0.013
588.25,0.011
588.30,0.016
588.35,0.016
588.40,0.016
588.45,0.013
588.50,0.016
588.55,0.014
588.60,0.014
588.65,0.014
588.70,0.017
588.75,0.014
588.80,0.014
588.85,0.013
588.90,0.014
588.95,0.011
589.00,0.013
589.05,0.013
589.10,0.012
589.15,0.013
589.20,0.012
589.25,0.011
589.30,0.013
589.35,0.011
589.40,0.011
589.45,0.010
589.50,0.011
589.55,0.009
589.60,0.011
589.65,0.010
589.70,0.010
589.75,0.010
589.80,0.009
589.85,0.009
589.90,0.010
589.95,0.009
590.00,0.008
590.05,0.009
590.10,0.009
590.15,0.009
590.20,0.008
590.25,0.008
590.30,0.008
590.35,0.007
590.40,0.009
590.45,0.008
590.50,0.008
590.55,0.007
590.60,0.009
590.65,0.007
590.70,0.006
590.75,0.007
590.80,0.007
590.85,0.007
590.90,0.008
590.95,0.007
591.00,0.007
591.05,0.007
591.10,0.008
591.15,0.005
591.20,0.005
591.25,0.007
591.30,0.006
591.35,0.006
591.40,0.007
591.45,0.007
591.50,0.006
591.55,0.005
591.60,0.008
591.65,0.009
591.70,0.010
591.75,0.011
591.80,0.014
