"i2 0.1 nm mskieh - RawData"
"Wavelength nm.","Abs."
613.50,0.069
613.60,0.071
613.70,0.070
613.80,0.070
613.90,0.069
614.00,0.066
614.10,0.068
614.20,0.067
614.30,0.066
614.40,0.071
614.50,0.069
614.60,0.068
614.70,0.074
614.80,0.072
614.90,0.072
615.00,0.072
615.10,0.071
615.20,0.071
615.30,0.073
615.40,0.074
615.50,0.069
615.60,0.070
615.70,0.072
615.80,0.070
615.90,0.072
616.00,0.071
616.10,0.067
616.20,0.069
616.30,0.070
616.40,0.071
616.50,0.065
616.60,0.068
616.70,0.072
616.80,0.073
616.90,0.064
617.00,0.069
617.10,0.070
617.20,0.068
617.30,0.068
617.40,0.072
617.50,0.068
617.60,0.067
617.70,0.069
617.80,0.064
617.90,0.069
618.00,0.068
618.10,0.067
618.20,0.070
618.30,0.070
618.40,0.071
618.50,0.069
618.60,0.069
618.70,0.070
618.80,0.071
618.90,0.070
619.00,0.070
619.10,0.072
619.20,0.069
619.30,0.068
619.40,0.067
619.50,0.070
619.60,0.072
619.70,0.074
619.80,0.071
619.90,0.067
620.00,0.073
620.10,0.072
620.20,0.073
620.30,0.067
620.40,0.070
620.50,0.067
620.60,0.066
620.70,0.070
620.80,0.069
620.90,0.070
621.00,0.073
621.10,0.071
621.20,0.071
621.30,0.071
621.40,0.070
621.50,0.071
621.60,0.069
621.70,0.068
621.80,0.069
621.90,0.070
622.00,0.069
622.10,0.066
622.20,0.064
622.30,0.067
622.40,0.069
622.50,0.066
622.60,0.068
622.70,0.069
622.80,0.067
622.90,0.069
623.00,0.068
623.10,0.067
623.20,0.067
623.30,0.068
623.40,0.073
623.50,0.071
623.60,0.068
623.70,0.071
623.80,0.069
623.90,0.071
624.00,0.071
624.10,0.072
624.20,0.073
624.30,0.070
624.40,0.071
624.50,0.069
624.60,0.070
624.70,0.072
624.80,0.069
624.90,0.068
625.00,0.064
625.10,0.067
625.20,0.066
625.30,0.071
625.40,0.065
625.50,0.068
625.60,0.069
625.70,0.071
625.80,0.074
625.90,0.066
626.00,0.073
626.10,0.069
626.20,0.066
626.30,0.068
626.40,0.070
626.50,0.067
626.60,0.070
626.70,0.070
626.80,0.064
626.90,0.068
627.00,0.065
627.10,0.069
627.20,0.070
627.30,0.069
627.40,0.071
627.50,0.069
627.60,0.068
627.70,0.074
627.80,0.070
627.90,0.067
628.00,0.070
628.10,0.067
628.20,0.066
628.30,0.067
628.40,0.069
628.50,0.072
628.60,0.072
628.70,0.070
628.80,0.071
628.90,0.073
629.00,0.070
629.10,0.067
629.20,0.075
629.30,0.069
629.40,0.066
629.50,0.068
629.60,0.068
629.70,0.068
629.80,0.068
629.90,0.070
630.00,0.069
630.10,0.068
630.20,0.068
630.30,0.065
630.40,0.071
630.50,0.068
630.60,0.065
630.70,0.068
630.80,0.071
630.90,0.070
631.00,0.066
631.10,0.068
631.20,0.067
631.30,0.067
631.40,0.068
631.50,0.064
631.60,0.070
631.70,0.068
631.80,0.069
631.90,0.068
632.00,0.070
632.10,0.067
632.20,0.069
632.30,0.069
632.40,0.073
632.50,0.072
632.60,0.073
632.70,0.072
632.80,0.069
632.90,0.071
633.00,0.070
633.10,0.066
633.20,0.070
633.30,0.069
633.40,0.071
633.50,0.070
633.60,0.070
633.70,0.071
633.80,0.070
633.90,0.070
634.00,0.069
634.10,0.069
634.20,0.069
634.30,0.068
634.40,0.070
634.50,0.067
634.60,0.071
634.70,0.068
634.80,0.070
634.90,0.066
635.00,0.068
635.10,0.071
635.20,0.071
635.30,0.068
635.40,0.071
635.50,0.069
635.60,0.069
635.70,0.070
635.80,0.071
635.90,0.065
636.00,0.070
636.10,0.075
636.20,0.071
636.30,0.067
636.40,0.069
636.50,0.068
636.60,0.070
636.70,0.069
636.80,0.065
636.90,0.068
637.00,0.072
637.10,0.070
637.20,0.066
637.30,0.070
637.40,0.067
637.50,0.069
637.60,0.067
637.70,0.067
637.80,0.069
637.90,0.071
638.00,0.070
638.10,0.066
638.20,0.071
638.30,0.070
638.40,0.067
638.50,0.069
638.60,0.067
638.70,0.065
638.80,0.063
638.90,0.067
639.00,0.065
639.10,0.069
639.20,0.070
639.30,0.070
639.40,0.068
639.50,0.065
639.60,0.069
639.70,0.069
639.80,0.065
639.90,0.065
640.00,0.070
640.10,0.068
640.20,0.068
640.30,0.070
640.40,0.068
640.50,0.071
640.60,0.067
640.70,0.070
640.80,0.068
640.90,0.071
641.00,0.070
641.10,0.070
641.20,0.067
641.30,0.071
641.40,0.064
641.50,0.066
641.60,0.067
641.70,0.066
641.80,0.068
641.90,0.067
642.00,0.066
642.10,0.068
642.20,0.070
642.30,0.069
642.40,0.067
642.50,0.070
642.60,0.068
642.70,0.065
642.80,0.069
642.90,0.070
643.00,0.065
643.10,0.065
643.20,0.069
643.30,0.069
643.40,0.069
643.50,0.070
643.60,0.066
643.70,0.069
643.80,0.066
643.90,0.067
644.00,0.071
644.10,0.071
644.20,0.068
644.30,0.065
644.40,0.069
644.50,0.069
644.60,0.071
644.70,0.068
644.80,0.071
644.90,0.069
645.00,0.067
645.10,0.065
645.20,0.073
645.30,0.070
645.40,0.068
645.50,0.071
645.60,0.069
645.70,0.068
645.80,0.066
645.90,0.065
646.00,0.066
646.10,0.065
646.20,0.069
646.30,0.069
646.40,0.068
646.50,0.066
646.60,0.066
646.70,0.070
646.80,0.068
646.90,0.066
647.00,0.066
647.10,0.068
647.20,0.070
647.30,0.066
647.40,0.067
647.50,0.068
647.60,0.067
647.70,0.068
647.80,0.069
647.90,0.069
648.00,0.072
648.10,0.067
648.20,0.068
648.30,0.066
648.40,0.064
648.50,0.065
648.60,0.064
648.70,0.071
648.80,0.070
648.90,0.067
649.00,0.069
649.10,0.065
649.20,0.065
649.30,0.066
649.40,0.066
649.50,0.070
649.60,0.068
649.70,0.071
649.80,0.068
649.90,0.064
650.00,0.071
