"rpcc - RawData"
"Wavelength nm.","Abs."
625.60,0.073
625.70,0.071
625.80,0.075
625.90,0.069
626.00,0.071
626.10,0.073
626.20,0.071
626.30,0.072
626.40,0.072
626.50,0.071
626.60,0.075
626.70,0.077
626.80,0.070
626.90,0.071
627.00,0.070
627.10,0.073
627.20,0.071
627.30,0.072
627.40,0.071
627.50,0.071
627.60,0.072
627.70,0.078
627.80,0.077
627.90,0.073
628.00,0.072
628.10,0.073
628.20,0.070
628.30,0.073
628.40,0.072
628.50,0.077
628.60,0.073
628.70,0.075
628.80,0.079
628.90,0.077
629.00,0.077
629.10,0.071
629.20,0.073
629.30,0.070
629.40,0.071
629.50,0.070
629.60,0.070
629.70,0.068
629.80,0.070
629.90,0.069
630.00,0.073
630.10,0.072
630.20,0.073
630.30,0.070
630.40,0.073
630.50,0.074
630.60,0.068
630.70,0.071
630.80,0.074
630.90,0.075
631.00,0.073
631.10,0.073
631.20,0.072
631.30,0.071
631.40,0.070
631.50,0.071
631.60,0.068
631.70,0.073
631.80,0.075
631.90,0.072
632.00,0.074
632.10,0.075
632.20,0.074
632.30,0.072
632.40,0.073
632.50,0.070
632.60,0.071
632.70,0.072
632.80,0.073
632.90,0.070
633.00,0.071
633.10,0.071
633.20,0.076
633.30,0.074
633.40,0.073
633.50,0.075
633.60,0.071
633.70,0.074
633.80,0.070
633.90,0.073
634.00,0.073
634.10,0.075
634.20,0.072
634.30,0.079
634.40,0.074
634.50,0.074
634.60,0.074
634.70,0.070
634.80,0.072
634.90,0.069
635.00,0.075
635.10,0.073
635.20,0.075
635.30,0.073
635.40,0.072
635.50,0.072
635.60,0.069
635.70,0.072
635.80,0.073
635.90,0.070
636.00,0.073
636.10,0.078
636.20,0.074
636.30,0.073
636.40,0.076
636.50,0.071
636.60,0.074
636.70,0.071
636.80,0.072
636.90,0.075
637.00,0.073
637.10,0.073
637.20,0.070
637.30,0.074
637.40,0.073
637.50,0.075
637.60,0.071
637.70,0.072
637.80,0.072
637.90,0.070
638.00,0.074
638.10,0.065
638.20,0.073
638.30,0.073
638.40,0.072
638.50,0.075
638.60,0.074
638.70,0.071
638.80,0.068
638.90,0.073
639.00,0.070
639.10,0.073
639.20,0.073
639.30,0.074
639.40,0.073
639.50,0.072
639.60,0.072
639.70,0.072
639.80,0.071
639.90,0.070
640.00,0.073
640.10,0.068
640.20,0.070
640.30,0.072
640.40,0.070
640.50,0.076
640.60,0.071
640.70,0.072
640.80,0.070
640.90,0.074
641.00,0.071
641.10,0.076
641.20,0.073
641.30,0.071
641.40,0.066
641.50,0.073
641.60,0.073
641.70,0.072
641.80,0.068
641.90,0.072
642.00,0.071
642.10,0.071
642.20,0.071
642.30,0.071
642.40,0.072
642.50,0.070
642.60,0.071
642.70,0.067
642.80,0.072
